Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2024-09-25,63709.7578125,69600.0,70400.0,69600.0,70300.0,4847436,1.0
2024-09-26,64716.66796875,70700.0,71100.0,69600.0,69600.0,4484109,1.0
2024-09-27,64991.27734375,71000.0,71200.0,70700.0,70800.0,3168700,1.0
2024-09-30,64167.44140625,70100.0,71000.0,70100.0,71000.0,2043516,3.0
2024-10-01,64167.44140625,70100.0,70700.0,70100.0,70200.0,2040200,1.0
2024-10-02,64167.44140625,70100.0,70200.0,69600.0,70200.0,3279930,1.0
2024-10-03,64350.5234375,70300.0,70500.0,69900.0,70200.0,2948030,1.0
2024-10-04,62702.85546875,68500.0,70500.0,68400.0,70500.0,6751000,1.0
2024-10-07,61421.33984375,67100.0,69300.0,67100.0,68700.0,6381300,3.0
2024-10-08,62428.25,68200.0,68200.0,67200.0,67200.0,3177649,1.0
2024-10-09,62062.09375,67800.0,68600.0,67800.0,68300.0,3827960,1.0
2024-10-10,61970.5546875,67700.0,68800.0,67700.0,68300.0,3122515,1.0
2024-10-11,61970.5546875,67700.0,68200.0,67500.0,68100.0,2690038,1.0
2024-10-14,61512.87109375,67200.0,68100.0,67100.0,68100.0,3220500,3.0
2024-10-15,61146.7265625,66800.0,67400.0,66700.0,67200.0,3473302,1.0
2024-10-16,61787.484375,67500.0,68100.0,66800.0,66800.0,2003900,1.0
2024-10-17,61879.0234375,67600.0,67900.0,67300.0,67600.0,1655019,1.0
2024-10-18,61695.94921875,67400.0,68000.0,67400.0,67600.0,1737502,1.0
2024-10-21,61604.41015625,67300.0,67900.0,67200.0,67400.0,1860000,3.0
2024-10-22,61604.41015625,67300.0,67800.0,67200.0,67300.0,2250400,1.0
2024-10-23,61604.41015625,67300.0,67600.0,67200.0,67300.0,1835900,1.0
2024-10-24,62611.3203125,68400.0,69000.0,67300.0,67300.0,4365000,1.0
2024-10-25,62245.1640625,68000.0,68600.0,67900.0,68600.0,2170200,1.0
2024-10-28,61512.87109375,67200.0,68000.0,66700.0,67700.0,2923300,3.0
2024-10-29,61329.80078125,67000.0,67300.0,66800.0,67300.0,2030600,1.0
2024-10-31,60505.96875,66100.0,66600.0,65300.0,66600.0,5269100,2.0
2024-11-01,60231.35546875,65800.0,66300.0,65600.0,66100.0,2178005,1.0
2024-11-04,60048.28125,65600.0,66600.0,65600.0,65900.0,2118800,3.0
2024-11-06,60231.35546875,65800.0,66000.0,65300.0,66000.0,2594600,2.0
2024-11-07,60322.89453125,65900.0,66200.0,65600.0,66000.0,1152300,1.0
2024-11-08,60139.81640625,65700.0,66200.0,65600.0,66000.0,1852400,1.0
2024-11-11,59682.1328125,65200.0,65800.0,64700.0,65700.0,2737600,3.0
2024-11-12,59407.51953125,64900.0,65700.0,64800.0,65200.0,1729600,1.0
2024-11-13,59499.05859375,65000.0,65600.0,64700.0,65100.0,2820700,1.0
2024-11-14,59499.05859375,65000.0,65000.0,64700.0,65000.0,1779900,1.0
2024-11-15,58309.07421875,63700.0,64900.0,63700.0,64900.0,3688300,1.0
2024-11-18,57851.39453125,63200.0,64200.0,63200.0,63700.0,3797000,3.0
2024-11-19,57668.3203125,63000.0,63500.0,63000.0,63300.0,2833600,1.0
2024-11-20,58217.54296875,63600.0,63800.0,62900.0,63000.0,2818000,1.0
2024-11-21,58492.15625,63900.0,64100.0,63400.0,63700.0,2253500,1.0
2024-11-22,58858.30078125,64300.0,64800.0,63900.0,63900.0,2585700,1.0
